idx,name,title,cate,source
27351,남기영,리드웨이브 대표,"동기부여, 자기관리, 자기계발, 꿈, 비전,경영/조직, 리더십, 조직문화, 조직관리, 조직활성화, 경영전략, 위기관리,소통, 커뮤니케이션",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27351
27352,문희정,휴메인아트 스튜디오 대표,"동기부여, 삶의자세, 자기계발, 마인드셋,인문학, 미술, 예술,경영/조직, 리더십, 조직문화, 조직관리, 조직활성화, 협력, 협업, 상생,소통, 커뮤니케이션, 관계, 스피치,퍼스널브랜딩, MBTI,건강, 스트레스, 심리,힐링, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27352
27358,김아현,에이스 휴먼브릿지 교육컨설팅연구소 대표,"경영/조직, 조직문화, 조직관리, 조직활성화,소통, 커뮤니케이션, 관계, 스피치,퍼스널브랜딩,건강, 스트레스, 심리,세일즈, 설득,힐링, 워라벨, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27358
27360,노재영,파인드앤리커버솔루션,"동기부여, 자기관리, 자기계발, 비전,경영/조직, 목표관리",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27360
27378,남상원,로프프리 대표,"동기부여, 꿈,AI/미래, Ai(인공지능),경영/조직, 스타트업,창의/마케팅, 콘텐츠, SNS,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27378
27382,전형원,3개국어 안내방송 버스기사,"소통, 커뮤니케이션,퍼스널브랜딩, CS,창의/마케팅, SNS",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27382
27389,배티 (배상면),철벽수학 대표,"인문학,교육, 자녀교육, 공부법, 입시, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27389
27406,김철수,프리랜서,"인문학, 세계,힐링, 행복, 여행",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27406
27411,정병진,행동혁신연구소 소장,"동기부여, 열정, 도전, 삶의자세, 마인드셋,경영/조직, 조직활성화,소통, 커뮤니케이션,건강, 스트레스,힐링, 웃음, 행복, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27411
27428,민경호,세계로미디어 대표,"동기부여, 자기계발,경영/조직, 창업,교육, 독서법, 글쓰기,힐링, 행복,취업, 면접, 이력서(자소서)",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27428
27429,최승국,도계고등학교 교장,"동기부여, 자기관리, 삶의자세, 자기계발,교육, 자녀교육, 공부법, 입시, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27429
27441,최유라,코딩 전문강사,"AI/미래, 디지털기술, IT, Ai(인공지능)",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27441
27462,서희선,배우,"동기부여, 열정, 꿈,건강, 심리,취업, 진로, 직업관",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27462
27498,강성은,캔바 전문강사,"AI/미래, Ai(인공지능),창의/마케팅, 창의력, 광고, 마케팅, 콘텐츠, SNS, 디자인",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27498
27508,서연하,웰니스치유연구소 대표,"인문학, 역사, 예술,힐링, 행복, 마음, 실습&체험",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27508
27524,천동희,(주)머찌동컴퍼니 대표,"동기부여, 자기계발,인문학,경제, 부동산,힐링",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27524
